iter	Passed	Remaining
410	4462	966
411	4473	955
412	4484	944
413	4496	934
414	4507	923
415	4518	912
416	4531	901
417	4542	891
418	4553	880
419	4567	869
420	4578	859
421	4589	848
422	4600	837
423	4611	826
424	4623	815
425	4634	805
426	4644	794
427	4668	785
428	4681	774
429	4692	763
430	4702	752
431	4713	741
432	4724	731
433	4735	720
434	4746	709
435	4757	698
436	4768	687
437	4779	676
438	4791	665
439	4801	654
440	4812	643
441	4823	633
442	4834	622
443	4846	611
444	4858	600
445	4869	589
446	4880	578
447	4892	567
448	4903	556
449	4915	546
450	4927	535
451	4938	524
452	4949	513
453	4961	502
454	4972	491
455	4984	480
456	4995	470
457	5006	459
458	5018	448
459	5030	437
460	5044	426
461	5057	415
462	5070	405
463	5084	394
464	5096	383
465	5106	372
466	5119	361
467	5130	350
468	5140	339
469	5150	328
470	5161	317
471	5170	306
472	5183	295
473	5193	284
474	5204	273
475	5214	262
476	5225	251
477	5236	241
478	5248	230
479	5258	219
480	5269	208
481	5281	197
482	5291	186
483	5303	175
484	5313	164
485	5323	153
486	5333	142
487	5343	131
488	5353	120
489	5364	109
490	5374	98
491	5386	87
492	5396	76
493	5406	65
494	5416	54
495	5427	43
496	5438	32
497	5448	21
498	5459	10
499	5469	0
