iter	MAE
0	77.77579762
1	72.42675445
2	67.78343864
3	63.36044778
4	59.41853821
5	55.91388247
6	52.81308396
7	50.08584863
8	47.69835856
9	45.6119821
10	43.79567627
11	42.06334259
12	40.64274193
13	39.43136648
14	38.21136361
15	37.17543817
16	36.35611946
17	35.5697255
18	34.90485937
19	34.34365542
20	33.92804586
21	33.62372474
22	33.13395707
23	32.82661452
24	32.46007052
25	32.23748425
26	32.08331137
27	31.86912926
28	31.59031295
29	31.32816805
30	31.11050246
31	31.00553033
32	30.80499549
33	30.60856343
34	30.40468929
35	30.25136822
36	30.04581788
37	29.83112335
38	29.72995505
39	29.50212924
40	29.39703385
41	29.25570282
42	29.15576114
43	29.07301519
44	28.93648069
45	28.85835858
46	28.79340979
47	28.74708934
48	28.66374742
49	28.5977138
50	28.5508086
51	28.44515508
52	28.37951577
53	28.28615603
54	28.24140048
55	28.17560451
56	28.07972011
57	28.05694462
58	28.00024435
59	27.96505759
60	27.90325345
61	27.85275015
62	27.74176331
63	27.69164849
64	27.6715621
65	27.65049217
66	27.63371457
67	27.58772411
68	27.55543724
69	27.47690663
70	27.41882032
71	27.34189307
72	27.31872785
73	27.2588789
74	27.23343261
75	27.22088262
76	27.13163877
77	27.10790372
78	27.07053339
79	27.05276398
80	26.82308719
81	26.77757653
82	26.72554522
83	26.6948088
84	26.66464293
85	26.64242249
86	26.63188499
87	26.60324175
88	26.54647718
89	26.48635753
90	26.46363949
91	26.41453174
92	26.40570383
93	26.38308884
94	26.30661981
95	26.29150279
96	26.27888325
97	26.2655312
98	26.16406394
99	26.14404038
100	26.11806416
101	26.10571452
102	26.08869449
103	26.07056845
104	26.06171738
105	26.02118365
106	25.96125986
107	25.93402355
108	25.89115522
109	25.68244725
110	25.63666881
111	25.5786349
112	25.56872802
113	25.5288698
114	25.50941521
115	25.49709974
116	25.48985501
117	25.46284314
118	25.41763535
119	25.40089531
120	25.39569373
121	25.36675302
122	25.35072699
123	25.34043867
124	25.32245324
125	25.30038436
126	25.27347254
127	25.25121234
128	25.21132358
129	25.20164788
130	25.16908698
131	25.15362454
132	25.1472111
133	25.11581078
134	25.07946122
135	25.06771457
136	25.05800947
137	25.0394226
138	25.01548259
139	25.00188092
140	24.98789909
141	24.80344454
142	24.78768437
143	24.76946675
144	24.76248062
145	24.71559183
146	24.70167697
147	24.68928963
148	24.63529282
149	24.56713545
150	24.56028291
151	24.5489765
152	24.47178419
153	24.46714421
154	24.46225252
155	24.45752782
156	24.45413996
157	24.38659702
158	24.22247016
159	24.2171302
160	24.19916729
161	24.1773156
162	24.11943756
163	24.11027037
164	24.10211038
165	24.09644115
166	24.06867486
167	23.93705066
168	23.92522606
169	23.91579745
170	23.91175893
171	23.90461254
172	23.88910364
173	23.88394815
174	23.8585093
175	23.80714662
176	23.79017979
177	23.7705088
178	23.76057571
179	23.75635065
180	23.75204086
181	23.74163676
182	23.73107691
183	23.71114838
184	23.69936339
185	23.69218746
186	23.676626
187	23.66937575
188	23.65301798
189	23.63485551
190	23.57154927
191	23.55697503
192	23.50048693
193	23.49630607
194	23.49372338
195	23.44331955
196	23.43315664
197	23.42482524
198	23.37962237
199	23.37653544
200	23.33627695
201	23.30034458
202	23.29181541
203	23.28569831
204	23.27409933
205	23.24220724
206	23.21374261
207	23.1883439
208	23.16568757
209	23.14547014
210	23.12747708
211	23.1114644
212	23.09719549
213	23.08448018
214	23.0731979
215	23.06505213
216	23.0195946
217	23.01355649
218	22.99349123
219	22.98325604
220	22.96837398
221	22.95874484
222	22.95635903
223	22.94706597
224	22.90010059
225	22.89057702
226	22.88192497
227	22.87442803
228	22.86685002
229	22.85806521
230	22.85208145
231	22.72873115
232	22.7146914
233	22.70990508
234	22.70649401
235	22.70189807
236	22.69184453
237	22.68788976
238	22.63916879
239	22.62776652
240	22.62399227
241	22.6211875
242	22.61502069
243	22.61028511
244	22.60587172
245	22.60222205
246	22.59902924
247	22.59063436
248	22.5855541
249	22.58367056
250	22.57670574
251	22.53759828
252	22.53562014
253	22.50378704
254	22.49518169
255	22.49361858
256	22.49225764
257	22.4901916
258	22.48174695
259	22.47200745
260	22.46763267
261	22.45367273
262	22.450356
263	22.44799324
264	22.44610591
265	22.4434404
266	22.44235917
267	22.43565304
268	22.42247803
269	22.41904912
270	22.31452659
271	22.31328683
272	22.2216039
273	22.22038756
274	22.21889481
275	22.21385822
276	22.17823546
277	22.17691017
278	22.17041066
279	22.16964464
280	22.16722956
281	22.16128714
282	22.15565148
283	22.1528239
284	22.15179136
285	22.07547925
286	22.07316794
287	22.03611528
288	22.03424423
289	22.02888834
290	22.0273858
291	22.02257773
292	22.01960612
293	21.95769229
294	21.95396792
295	21.95040037
296	21.94823254
297	21.94543875
298	21.94283301
299	21.93634812
300	21.93435546
301	21.86098682
302	21.83389619
303	21.8320553
304	21.82923898
305	21.82408102
306	21.82185981
307	21.82074801
308	21.81955384
309	21.7963144
310	21.79516738
311	21.78755565
312	21.78036147
313	21.77536161
314	21.7739541
315	21.76876241
316	21.73105901
317	21.7291117
318	21.72825283
319	21.72714466
320	21.72566366
321	21.71987916
322	21.69442221
323	21.6902535
324	21.68614848
325	21.68405938
326	21.68177337
327	21.67848256
328	21.67639406
329	21.67491381
330	21.67408719
331	21.60968362
332	21.60633684
333	21.60549421
334	21.59992944
335	21.57595935
336	21.56054318
337	21.55832774
338	21.55531777
339	21.55459185
340	21.55282411
341	21.55114771
342	21.5497005
343	21.54846816
344	21.54556625
345	21.54417629
346	21.54161272
347	21.53420268
348	21.53243626
349	21.53179332
350	21.53110038
351	21.52593027
352	21.5213925
353	21.51227468
354	21.51093026
355	21.50797735
356	21.50718037
357	21.50586479
358	21.50506405
359	21.50071707
360	21.50015298
361	21.49803709
362	21.48132626
363	21.48016872
364	21.4782698
365	21.47480378
366	21.47310369
367	21.47202597
368	21.47152988
369	21.4435088
370	21.42568261
371	21.41791199
372	21.41570803
373	21.41440827
374	21.37453598
375	21.37329746
376	21.36072758
377	21.36021436
378	21.35901834
379	21.35256691
380	21.35175338
381	21.34961031
382	21.34133763
383	21.33858287
384	21.33777959
385	21.33705016
386	21.32808276
387	21.327309
388	21.32584605
389	21.32541396
390	21.32424611
391	21.31842635
392	21.3173742
393	21.30341018
394	21.30257586
395	21.30127034
396	21.29933569
397	21.29769261
398	21.2963331
399	21.29484789
400	21.29223003
401	21.28932064
402	21.2885007
403	21.28723935
404	21.2859904
405	21.28535967
406	21.28467864
407	21.28203437
408	21.28124001
409	21.2795328
410	21.23376802
411	21.23097406
412	21.22922852
413	21.22712268
414	21.22602392
415	21.22568542
416	21.19984688
417	21.19886219
418	21.19688341
419	21.16226749
420	21.16191547
421	21.16002749
422	21.15867836
423	21.15792926
424	21.15721824
425	21.15641856
426	21.15520864
427	21.15374717
428	21.15310684
429	21.15150055
430	21.14392549
431	21.14359648
432	21.1412961
433	21.14056239
434	21.13634063
435	21.13593865
436	21.1354441
437	21.13391518
438	21.13308429
439	21.13288161
440	21.12131058
441	21.12069461
442	21.12030572
443	21.11716779
444	21.11623898
445	21.11559312
446	21.08343046
447	21.0715615
448	21.0710266
449	21.07036945
450	21.06915924
451	21.06759987
452	21.06666689
453	21.06396903
454	21.06005179
455	21.00992446
456	21.00791511
457	21.00340655
458	21.00139712
459	20.95062438
460	20.94834296
461	20.94515367
462	20.94289544
463	20.90944754
464	20.90308339
465	20.9023708
466	20.89704598
467	20.89281186
468	20.89233971
469	20.89174952
470	20.88979642
471	20.88536033
472	20.88368567
473	20.88325615
474	20.88252371
475	20.85880957
476	20.85802687
477	20.85673082
478	20.85601455
479	20.8551093
480	20.85415406
481	20.85099553
482	20.84604158
483	20.84011111
484	20.83882197
485	20.83340169
486	20.83235144
487	20.83021664
488	20.82935411
489	20.828734
490	20.82772112
491	20.82602684
492	20.82523937
493	20.82411973
494	20.82364269
495	20.82269516
496	20.79983353
497	20.79892019
498	20.79279149
499	20.76676861
